campaign_id,channel,objective,target_audience,launch_date,impressions,conversions,open_rate,click_through_rate,conversion_rate,pipeline_value_generated,AI_score,success_flag
789f6267-36e2-4f7f-a83b-2473a2ab3828,Email Outreach (Targeted to Procurement/Engineering),Increase Sales,Enterprise,3/13/2024,18932,15335,10.17,5.07,81.0,80000,777.5,1
10b05abc-c2bd-40e6-8167-c98e6601659c,Email Outreach (Targeted to Procurement/Engineering),Website Traffic,Education,4/12/2024,7629,6741,34.46,4.27,88.36,100000,287.8,1
a7b333b4-17ce-4c09-ac02-f14bfd224b79,Email Outreach (Targeted to Procurement/Engineering),Website Traffic,Manufacturing,4/28/2024,2045,1779,31.21,0.89,86.99,100000,15.8,0
615c2b50-8e4c-4757-8edf-0b1977e45aa2,Email Outreach (Targeted to Procurement/Engineering),Website Traffic,Healthcare,5/19/2024,9221,8113,31.87,2.59,87.98,100000,210.1,1
7d981317-da02-49f4-ab6e-154297c3ed6f,Email Outreach (Targeted to Procurement/Engineering),Re-engagement,SMB,6/13/2024,4961,4049,33.14,7.31,81.62,70000,296.0,1
360c0500-c8bd-4773-8499-17b740f1ef7d,Email Outreach (Targeted to Procurement/Engineering),Upsell/Cross-sell,SMB,7/23/2024,10946,9136,12.22,2.3,83.46,50000,210.1,1
fa9af8b3-b81e-4a9c-a3f8-789137f642b0,Email Outreach (Targeted to Procurement/Engineering),Website Traffic,Retail,8/11/2024,1649,1409,20.75,1.59,85.45,80000,22.4,0
ee9b561a-724d-4f80-806e-984ed3dbe106,"Engineering Forums / Online Communities (e.g., StackExchange, Re",Product Launch,Retail,7/5/2022,419,358,13.48,4.17,85.44,60000,14.9,1
5b4bd09d-3ea0-43e3-9de6-a03cfffa095f,"Engineering Forums / Online Communities (e.g., StackExchange, Re",Product Launch,Enterprise,2/6/2023,2589,2189,35.89,7.89,84.55,45000,172.7,1
5e3cbf16-edc7-4bf6-88e5-b943c74aa7e5,"Engineering Forums / Online Communities (e.g., StackExchange, Re",Re-engagement,Healthcare,8/18/2023,17165,15027,28.7,2.32,87.54,60000,348.6,1
2b4fe6aa-2782-41c0-8cdd-4e37b22e7a48,"Engineering Forums / Online Communities (e.g., StackExchange, Re",Market Expansion,Healthcare,1/1/2024,19903,17547,19.93,5.54,88.16,55000,972.1,1
4b82941f-f0e9-49ed-8bef-069db3a9149b,"Engineering Forums / Online Communities (e.g., StackExchange, Re",Market Expansion,Education,7/28/2024,2069,1809,11.91,6.21,87.43,40000,112.3,1
4f08efe8-07ab-430c-96fb-a69404f732a2,"Engineering Forums / Online Communities (e.g., StackExchange, Re",Upsell/Cross-sell,Education,3/10/2025,16687,14407,19.33,2.28,86.34,20000,328.5,1
1f1b9771-86d0-4794-9514-e1ccccf74355,"Engineering Forums / Online Communities (e.g., StackExchange, Re",Customer Retention,Education,3/28/2025,17281,15328,19.76,5.96,88.7,40000,913.6,1
635f22a6-6595-4972-8030-b1e21cc4f03e,Industry Trade Shows & Conferences,Product Launch,Retail,6/23/2022,15662,12950,31.89,3.26,82.68,650000,422.1,1
b71e68f8-7a59-43ae-ab95-4e19a512ff81,Industry Trade Shows & Conferences,Product Launch,Healthcare,10/4/2022,2675,2176,29.13,5.24,81.35,2410000,114.0,1
9df5526b-2e0c-4832-b9cf-298d5961e36c,Industry Trade Shows & Conferences,Market Expansion,Healthcare,12/2/2022,14645,12080,36.62,5.25,82.49,830000,634.2,1
31b90b31-fbab-46f9-8910-16722c97e8c6,Industry Trade Shows & Conferences,Brand Awareness,SMB,5/9/2024,8186,6617,24.17,4.52,80.83,1200000,299.1,1
5d61580a-e94c-4dc0-8fc0-8d61f4755c61,Industry Trade Shows & Conferences,Product Launch,Retail,10/1/2024,4144,3712,13.59,1.18,89.58,1250000,43.8,0
bb80f390-7b5c-4b81-b0c5-df52ce70578a,Industry Trade Shows & Conferences,Promote New Product,Manufacturing,4/1/2025,4132,3691,31.4,6.76,89.33,2000000,249.5,1
52ae2956-ae4e-4210-8eb3-329cc0ce7505,Industry Trade Shows & Conferences,Promote New Product,Retail,4/5/2025,10090,8692,32.82,2.91,86.14,2000000,252.9,1
d6980606-40ff-42e6-afaa-b439ebae2ffc,LinkedIn Sponsored Content / InMail,Product Launch,Manufacturing,7/10/2022,3440,2940,26.84,1.9,85.47,22000,55.9,0
2d7f86f5-b838-4755-b39d-e9c2ac7ef1cc,LinkedIn Sponsored Content / InMail,Promote New Product,SMB,2/2/2023,17529,14159,33.13,0.81,80.77,18000,114.7,0
98abfbd0-3f9e-46e6-b552-f68a161ec23b,LinkedIn Sponsored Content / InMail,Event Promotion,Enterprise,2/4/2023,14650,12404,24.81,4.93,84.67,46000,611.5,1
89e39343-9b1b-469a-a991-0434551b31e7,LinkedIn Sponsored Content / InMail,Customer Retention,Healthcare,5/3/2023,14746,13247,25.68,5.58,89.83,62500,739.1,1
486c7d47-541c-4e48-adfb-e878cc4c475f,LinkedIn Sponsored Content / InMail,Customer Retention,SMB,8/8/2023,13094,10939,22.83,0.62,83.54,24000,67.8,0
11642e13-94e5-4a08-a029-cfb81b092fe6,LinkedIn Sponsored Content / InMail,Market Expansion,Healthcare,11/21/2023,8370,7247,10.76,4.34,86.58,75000,314.5,1
950f9190-813b-473a-ad87-39f9a975bf70,LinkedIn Sponsored Content / InMail,Product Launch,Education,12/28/2023,10463,8795,13.24,2.2,84.06,20000,193.5,1
da85b70b-3eb9-4b1d-9f1b-82c61396bbeb,LinkedIn Sponsored Content / InMail,Brand Awareness,Enterprise,9/2/2024,19697,16756,10.94,5.34,85.07,86000,894.8,1
72e8bbf8-9831-4b99-956f-d26434a9fa74,"Retargeting via Programmatic Ads (LinkedIn, Industrial sites)",Re-engagement,Enterprise,5/23/2022,1640,1330,29.09,1.81,81.1,22000,24.1,0
4a06b14e-c0e7-470c-aea7-f7c5bcc20ec7,"Retargeting via Programmatic Ads (LinkedIn, Industrial sites)",Event Promotion,SMB,10/24/2022,6392,5442,19.43,5.68,85.14,15000,309.1,1
688086dc-1ad1-4daa-ac5d-91189d7d607d,"Retargeting via Programmatic Ads (LinkedIn, Industrial sites)",Seasonal Promotion,Enterprise,3/11/2023,9803,8783,25.26,3.4,89.6,36000,298.6,1
578e672f-a01b-49d3-bb82-572530afe4ff,"Retargeting via Programmatic Ads (LinkedIn, Industrial sites)",Seasonal Promotion,Manufacturing,8/27/2023,11172,9579,37.23,7.53,85.74,45000,721.3,1
5ab0b76a-264c-4b71-ab06-1e48f9528fa8,"Retargeting via Programmatic Ads (LinkedIn, Industrial sites)",Customer Retention,Enterprise,1/10/2024,10403,8361,17.48,1.53,80.37,32000,127.9,0
8e1b8d1a-43db-47c0-93c4-f5d2f94474db,"Retargeting via Programmatic Ads (LinkedIn, Industrial sites)",Upsell/Cross-sell,Healthcare,7/28/2024,10167,9104,22.31,3.06,89.54,36900,278.6,1
770368e3-b4e3-4c4d-b80c-35efddb9e02a,"Retargeting via Programmatic Ads (LinkedIn, Industrial sites)",Re-engagement,Healthcare,10/28/2024,2605,2202,32.67,1.35,84.53,49136,29.7,0
ca825886-03ad-4498-91e0-59daf9163aa5,Technical Whitepapers / Case Studies,Product Launch,Healthcare,7/27/2022,5728,4695,16.86,7.44,81.97,22000,349.3,1
f6d9bb74-a8cf-42f2-8ca2-f9abcaec8dc6,Technical Whitepapers / Case Studies,Product Launch,Healthcare,7/30/2022,16180,13512,12.31,7.08,83.51,21000,956.6,1
b5236fc6-3eb5-41c1-971c-d1010165e411,Technical Whitepapers / Case Studies,Event Promotion,Manufacturing,11/9/2022,15071,12668,18.69,2.43,84.06,34000,307.8,1
a3ec4931-ec1f-49ff-9196-439ec213e0a9,Technical Whitepapers / Case Studies,Promote New Product,Retail,11/12/2022,2199,1930,14.84,5.45,87.77,32000,105.2,1
c00b12d5-6e80-4b01-b862-6cac99420f4d,Technical Whitepapers / Case Studies,Increase Sales,Education,8/6/2023,12338,10678,37.89,6.63,86.55,170000,708.0,1
95132475-e80c-4fd0-b025-ab24bd7e23e2,Technical Whitepapers / Case Studies,Upsell/Cross-sell,SMB,7/17/2024,5802,5172,34.24,4.66,89.14,36000,241.0,1
bf1d41f8-5ec4-4501-a42f-0edb5b914ff1,Technical Whitepapers / Case Studies,Product Launch,Healthcare,7/25/2024,10513,8992,29.0,4.47,85.53,36000,401.9,1
507ea8ac-9584-4c68-8a7e-05f119476b07,Webinars / Technical Demos,Product Launch,Enterprise,3/21/2022,8023,6565,36.14,2.31,81.83,200000,151.7,1
aa69b89d-1ec4-430a-9404-371aef5a7da2,Webinars / Technical Demos,Product Launch,Healthcare,4/11/2022,269,222,34.11,1.2,82.53,560000,2.7,0
b480bb77-6d65-48d1-804e-693329203323,Webinars / Technical Demos,Event Promotion,Enterprise,4/28/2022,16535,13292,15.6,7.23,80.39,460000,961.0,1
bdaa6a3d-3e59-4b39-b7a0-9434bbeaf10b,Webinars / Technical Demos,Event Promotion,Education,6/29/2022,15896,13933,36.78,7.25,87.65,260000,1010.1,1
341ee3a1-e16e-4404-9872-33d52e6b9545,Webinars / Technical Demos,Brand Awareness,Education,3/28/2024,11125,9656,26.18,5.25,86.8,200000,507.0,1
5cbc6488-0808-4f8a-9eb1-165055fdc52c,Webinars / Technical Demos,Increase Sales,Healthcare,3/30/2024,9127,7612,34.22,3.04,83.4,680000,231.4,1
35d2cfce-c258-4362-a4bb-010cfe6884c5,Webinars / Technical Demos,Brand Awareness,Enterprise,6/25/2024,11585,10262,36.88,3.12,88.58,305000,320.2,1
551d94db-5e67-4d90-b0d9-8ce255fa8786,Webinars / Technical Demos,Customer Retention,Healthcare,9/26/2024,5911,5068,19.54,5.94,85.74,210000,301.0,1
